,cluster_score,CPI_v3,CPI_technique,proxy_label
120,51.829594819176364,51.8,61.9,-1
121,65.06550653255738,63.5,67.2,1
122,62.57735720765722,61.4,66.4,1
123,63.54655204480506,60.8,65.0,-1
124,61.43805657098993,60.5,66.0,1
125,61.36913569307203,60.8,66.4,1
126,65.66326802346762,40.0,42.1,1
127,,55.3,64.5,-1
128,,63.9,67.4,1
129,49.82521612211413,52.3,59.2,-1
130,68.73838889021695,25.0,22.4,0
131,71.31453207254013,63.0,64.6,1
132,57.069460152846354,24.5,17.7,0
133,51.90256793938532,25.0,27.8,0
134,62.674956366168225,62.2,67.4,1
135,65.1174907527733,62.2,65.3,-1
136,66.58082741005246,25.0,22.4,0
137,54.64441980925915,25.0,26.5,0
138,44.73166663974639,25.0,31.1,0
139,61.35493517663889,25.0,25.9,0
140,54.43390960807201,57.2,67.8,-1
141,,57.2,67.1,-1
142,56.89070251347395,54.8,61.9,-1
143,57.52236486257763,55.8,62.6,-1
144,61.0168549690735,61.6,67.7,1
145,64.6185432682832,63.2,67.2,1
146,48.44318017194317,46.2,49.2,-1
147,81.51169815844436,52.2,50.2,-1
148,62.42413014892092,58.4,62.7,1
149,52.80606382430501,54.0,62.7,-1
150,61.65906267998265,60.9,66.4,1
151,80.03789813330123,62.2,62.5,-1
152,52.17686914113209,52.5,62.0,-1
153,56.99569944230849,58.9,67.5,-1
154,57.79626687635475,59.3,67.2,1
155,57.31569953845141,56.0,62.5,-1
156,,56.8,65.5,-1
157,63.685665329154695,62.2,66.5,1
158,57.23266831996652,55.6,63.0,-1
159,62.74348736123998,62.4,67.3,1
160,56.13504111278365,57.4,66.4,1
161,64.31445433336808,60.6,64.4,1
162,61.60278666046961,59.8,64.9,1
163,56.736627373041685,58.0,66.4,1
164,65.3313590247612,61.7,65.0,1
165,90.0058418242613,61.1,59.9,-1
166,61.80826368611403,60.6,65.8,1
167,72.82494563619763,60.6,61.7,-1
168,57.294485625027235,59.1,67.5,-1
169,,57.0,58.3,-1
170,55.79912927184988,56.5,65.3,1
171,,50.0,60.1,-1
172,63.310142403146884,60.7,64.9,-1
173,64.42283612803712,60.4,64.0,-1
174,58.37580853764344,56.0,62.4,-1
175,70.48310057099414,62.1,63.5,-1
176,64.26944233563583,62.2,66.2,-1
177,69.42440012846089,56.3,56.2,-1
178,,60.7,65.1,1
179,,60.0,65.0,1
180,65.50313152103425,25.0,23.9,0
181,,57.6,64.0,-1
182,,54.5,60.4,-1
183,,61.4,67.1,1
184,,59.5,64.8,1
185,55.21908583188109,53.0,60.0,-1
186,,63.2,67.1,1
187,55.5872690857474,54.5,62.6,1
188,62.67435094153666,58.2,62.3,1
189,57.605413937780725,57.4,65.2,1
190,57.09400173272616,54.9,61.6,-1
191,54.29428130221331,51.5,57.4,-1
192,,57.8,63.3,-1
193,,52.6,60.5,-1
194,58.53830577552952,56.8,63.2,-1
195,61.11592892339488,58.7,63.9,-1
196,42.55179597980844,25.0,29.7,0
197,66.29816281368083,62.4,64.8,1
198,73.11756645375667,54.6,54.6,-1
199,62.69968238497526,61.4,66.2,1
200,50.32662907508529,25.0,25.1,0
201,60.805270710423365,60.6,66.5,1
202,56.667903543199415,55.7,63.2,-1
203,,66.7,66.2,-1
204,68.84169212255264,64.0,66.2,1
205,63.56466168612756,62.3,66.6,1
206,62.77237780887604,61.3,65.9,-1
207,62.03493862952041,59.4,64.2,1
208,35.709409706390936,25.0,28.2,0
209,,25.0,33.0,0
210,37.54471620253621,25.0,27.0,0
211,,63.8,67.4,1
212,66.5709490902266,62.3,65.0,1
213,71.66013888567787,62.7,64.0,1
214,60.447619988854754,59.5,65.5,1
215,,51.5,62.9,-1
216,32.08585745167537,13.6,13.6,0
217,68.25416014347576,58.0,58.8,-1
218,59.91106393038481,57.7,63.6,-1
219,66.20246848707075,61.7,64.4,-1
220,58.52148468696846,58.9,66.2,1
221,62.90183418032071,62.2,67.1,1
222,66.61397446307096,60.1,62.2,-1
223,59.32255879941025,57.3,62.7,-1
224,,60.6,67.5,1
225,60.180694530379576,60.8,67.3,1
226,60.771524989622726,60.5,66.6,1
227,63.955011757498134,58.1,61.1,-1
228,,63.3,65.9,1
229,65.70697310354457,62.7,66.0,1
230,58.47952955092015,59.4,66.9,1
231,61.12528358612172,59.2,64.7,1
232,62.453408597927165,61.1,66.0,1
233,60.27523595338591,60.5,66.7,1
234,60.84846264879204,61.2,67.3,1
235,,61.0,66.2,1
236,62.33382121888127,61.2,66.2,1
237,86.77920640004197,59.7,58.8,-1
238,64.70214035762959,25.0,24.5,0
239,77.15952132445723,64.8,63.9,-1
240,,65.3,64.8,-1
241,58.321311735019634,54.5,59.4,-1
242,,48.2,58.9,-1
243,53.75595326152749,57.2,66.1,-1
244,56.57944038357472,53.6,59.4,-1
245,,61.4,59.7,-1
246,,62.4,62.2,-1
247,58.94334357561692,60.3,67.5,1
248,69.0477831210829,63.2,65.0,1
249,64.68283272998615,60.2,63.5,1
250,62.12125455714652,60.1,64.9,-1
251,72.49902330805484,65.3,66.9,-1
252,61.12034862903095,61.2,67.2,1
253,64.48406764534779,63.1,67.1,1
254,,57.8,67.3,-1
255,,58.4,67.6,-1
256,56.26116517440188,58.1,67.4,1
257,62.44453954391489,61.4,66.4,1
258,58.06378166501198,57.9,65.1,1
259,63.800468175653656,62.1,66.4,1
260,61.39193336464709,59.8,65.1,1
261,56.82201063993742,57.9,66.4,1
262,62.71666043370742,60.5,65.1,1
263,,56.0,64.0,-1
264,79.60787127484522,64.4,64.8,1
265,63.91002215282009,62.0,66.2,1
266,59.74132930486532,60.8,66.6,-1
267,,66.2,66.5,-1
268,62.27561657769747,62.6,67.8,-1
269,,49.5,55.1,-1
270,64.8128031169338,25.0,24.7,0
271,49.911758610513466,47.8,53.0,-1
272,64.99208417966524,54.9,55.7,-1
273,,57.0,62.2,-1
274,,25.0,26.9,0
275,,25.0,26.1,0
276,,60.8,64.9,1
277,61.98348665769766,61.3,66.6,1
278,,62.8,66.7,1
279,,60.8,65.5,1
280,64.04545564605607,61.4,65.3,-1
281,,62.6,67.2,1
282,55.732596544524206,52.7,56.7,-1
283,,59.0,64.1,-1
284,58.43678052908538,57.8,64.1,-1
285,60.50979351449984,59.4,64.8,-1
286,,57.9,62.9,-1
287,31.728948226507914,25.0,27.9,0
288,58.44062698383452,56.5,62.8,-1
289,,58.4,62.4,-1
290,64.49091006663974,60.9,64.5,1
291,62.89399522599338,59.0,63.2,1
292,,59.6,65.1,1
293,47.33399098493049,25.0,28.2,0
294,67.8616406189212,25.0,24.0,0
295,60.66459680360234,59.6,65.5,1
296,69.31554699462636,62.7,64.6,1
297,61.211776673058395,60.2,65.8,1
298,56.24302189284944,58.5,67.2,-1
299,59.196448071089726,59.4,66.2,1
300,62.26849169072673,59.5,64.0,1
301,59.16578559764113,56.3,61.7,-1
302,61.347629771774926,57.9,62.5,-1
303,44.44213308550648,47.8,56.6,-1
304,56.88914920184865,54.3,59.7,-1
305,57.406587959987995,57.1,64.6,1
306,57.03034178233273,55.8,62.4,-1
307,,57.4,65.3,-1
308,57.749541989950636,58.0,64.5,-1
309,63.901115538812704,59.7,62.2,-1
310,51.42160495831823,50.3,57.8,-1
311,65.17274268814683,63.4,67.1,1
312,59.5253587120184,58.3,64.6,1
313,,50.7,62.5,-1
314,54.120789505128485,52.8,58.0,-1
315,52.479703779602474,53.9,63.6,-1
316,48.49599704149943,50.3,59.4,-1
317,53.32699364852373,53.8,61.8,-1
318,48.372368002192104,25.0,29.1,0
319,57.709040470214624,54.5,58.8,-1
320,59.15438911274538,54.8,59.4,-1
321,59.672595366551754,59.5,65.9,1
322,62.19514355157712,60.4,65.2,-1
323,49.743794111315076,25.0,24.2,0
324,62.853820967598864,60.4,65.0,1
325,51.31055622779155,25.0,27.3,0
326,60.81422858600658,60.5,66.1,1
327,63.569074301019434,60.1,64.3,1
328,54.308868061852756,53.9,60.6,-1
329,72.9617664838895,63.1,64.4,1
330,69.95248256860253,60.7,62.2,-1
331,55.7886945458919,55.3,61.2,-1
332,62.68297825660258,61.8,66.9,1
333,56.899809494323094,56.5,63.5,-1
334,68.3865173905129,64.4,66.6,1
335,56.43549256703929,25.0,25.0,0
336,47.70426068586525,25.0,26.4,0
337,42.47364058174314,25.0,24.9,0
338,57.02284826025827,57.4,65.2,-1
339,,62.1,67.1,-1
340,58.24415601796853,58.6,65.9,1
341,65.80860183154297,63.6,66.9,1
342,57.17197534204932,57.1,64.8,1
343,61.394950368707114,60.4,65.8,1
344,59.14777043837107,58.5,65.1,1
345,61.291522981792646,58.2,63.0,-1
346,59.852823791228026,59.5,65.8,1
347,,58.4,65.4,-1
348,,56.5,66.2,-1
349,58.64888825760581,58.3,65.0,-1
350,64.09504300358127,61.7,65.8,-1
351,71.13046228197311,65.1,67.1,1
352,69.52065088257173,64.6,66.9,1
353,62.160420281175575,59.8,64.5,-1
354,57.205481952626656,57.7,65.3,1
355,54.02099336910688,53.1,59.4,-1
356,68.43795986527678,62.8,64.7,-1
357,57.003318977296956,55.7,62.7,-1
358,70.40202407237035,63.0,64.9,-1
359,60.127199345286655,59.8,64.7,-1
360,,62.3,67.0,-1
361,69.114887025414,62.6,64.4,1
