id_parcelle,shap_slope_p50,shap_slope_p90,shap_slope_std,shap_twi_mean,shap_has_thalweg_mean,shap_profile_curvature_mean,shap_tri_mean,shap_hillshade_winter_mean,shap_aspect_south_ratio_mean,shap_svf_mean,CPI_ML_v6,CPI_v6,CPI_technique,zone_plu,compactness_ratio,elongation_ratio,shape_warning,ces_existant,ces_residuel,emprise_residuelle_m2,ces_warning,cluster_score,brgm_argiles_flag,brgm_mvt_terrain_flag,shap_groupe_SLOPE,shap_groupe_HYDROLOGY,shap_groupe_MORPHOLOGY,shap_groupe_SUNLIGHT,cpi_ml_ci_low,cpi_ml_ci_high,cpi_ml_std
73065000BX0251,-0.030640487,-1.095078,-0.3353367,0.0,0.0,3.8211234e-05,-0.34975785,-0.007388426,0.0,0.0,0.0,22.6,24.3,inconnu,0.5711246747873754,1.2517641719683623,,0.0,0.4,1564.8719504894611,,14.585697063304814,,,-1.4610552,0.0,-0.34971964,-0.007388426,0.0,0.0,0.0
73065000BX0252,0.0020721056,-1.1263613,-0.392892,0.0,0.0,3.8211234e-05,-0.27259922,-0.009404767,0.0,0.0,0.5,25.0,29.7,inconnu,0.715601619830534,1.1007466152452157,,0.226084628720788,0.173915371279212,235.98652528610071,,43.78407598100239,,,-1.5171812,0.0,-0.272561,-0.009404767,0.0,0.05735400691628456,0.017912233248353004
73065000BX0124,-0.013010676,-1.1017884,-0.3462562,0.0,0.0,3.8211234e-05,-0.34975785,-0.007388426,0.0,0.0,0.0,25.0,31.8,inconnu,0.7576012051491163,1.3213654028566524,,0.0,0.4,134.9832638440455,,33.017235187079805,,,-1.4610553,0.0,-0.34971964,-0.007388426,0.0,0.0,0.0
73065000BX0133,-0.030640487,-1.095078,-0.3353367,0.0,0.0,3.8211234e-05,-0.34975785,-0.007388426,0.0,0.0,0.0,25.0,32.9,inconnu,0.7325858861873431,1.1903817405207824,,0.0,0.4,89.2681297430487,,24.227116762906707,,,-1.4610552,0.0,-0.34971964,-0.007388426,0.0,0.0,0.0
73065000BY0127,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,63.1,66.2,inconnu,0.6006352019063247,2.3286723764904806,,0.0,0.4,111.51314559776792,,66.2037754948473,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0
73065000BY0163,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,62.0,65.0,inconnu,0.2390395400095766,1.2291773423611376,,0.0,0.4,125.33051853283712,,65.8012509907679,,,1.5524521,0.0,0.2468078,-0.0020383701,99.99000549316406,100.0,0.002902258886024356
73065000BY0129,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,64.3,66.0,inconnu,0.4419811945208463,3.2182610933913383,Parcelle allongee - emprise reelle limitee,0.0,0.4,189.06289897761687,,70.46818013872485,,,1.5524521,0.0,0.2468078,-0.0020383701,99.99005889892578,100.0,0.002449882449582219
73065000BY0130,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,64.2,64.6,inconnu,0.4317702602522927,2.2323183295413,,0.0,0.4,216.5511088674257,,78.3341617896123,,,1.5524521,0.0,0.2468078,-0.0020383701,99.99494171142578,100.0,0.0016962861409410834
73065000BY0128,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,63.9,65.9,inconnu,0.4571570866018906,1.724925102275527,,0.0,0.4,441.5492765829656,,68.97957620546087,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0013776550767943263
73065000BY0221,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,63.7,65.5,inconnu,0.2832412697820032,2.486581535007931,,0.0,0.4,137.46293982373933,,69.33846618035504,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0013776550767943263
73065000BY0190,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,62.6,65.5,inconnu,0.3199498650091372,2.4826712757121565,,0.0,0.4,86.03386334885833,,66.102480064732,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0
73065000BY0029,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,59.7,65.8,inconnu,0.7031021399603011,1.4601246341723368,,0.4375794933818847,0.0,0.0,Emprise residuelle < 80m2 - constructibilite tres limitee,60.166527474691314,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0
73065000BY0030,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,61.6,67.4,inconnu,0.7941919749318712,1.1549470436634757,,0.4190232128839179,0.0,0.0,Emprise residuelle < 80m2 - constructibilite tres limitee,61.402521478227,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0
73065000BY0225,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,61.1,64.3,inconnu,0.3394153274338832,1.090576647723014,,0.0,0.4,313.0982915452701,,65.65646429209433,,,1.5524521,0.0,0.2468078,-0.0020383701,99.9970474243164,100.0,0.0014610071666538715
73065000BY0287,-0.030640487,-1.08979,-0.3353367,0.0,0.0,-0.0052498584,-0.34975785,-0.007388426,0.0,0.0,0.0,25.0,29.3,inconnu,0.1124347714772077,1.325905908339139,Parcelle allongee - emprise reelle limitee,0.0,0.4,200.4483560045857,,26.7361723619988,,,-1.4557672,0.0,-0.3550077,-0.007388426,0.0,0.0,0.0
73065000BY0320,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,61.1,65.0,inconnu,0.1444182800539989,5.432830076183954,Parcelle allongee - emprise reelle limitee,0.0,0.4,156.7262401478201,,63.812392488193616,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0
73065000BY0321,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,62.2,65.1,inconnu,0.32761721309449,4.535735254654095,Parcelle allongee - emprise reelle limitee,0.0,0.4,103.44844047477348,,66.05606652999853,,,1.5524521,0.0,0.2468078,-0.0020383701,99.9970474243164,100.0,0.0014610071666538715
73065000BY0335,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,59.0,65.0,inconnu,0.4718898916389518,1.3688566240724729,,0.0,0.4,396.6588885223457,,59.809342021372935,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0
73065000BY0056,-0.030640487,-1.095078,-0.3353367,0.0,0.0,3.8211234e-05,-0.34975785,-0.007388426,0.0,0.0,0.0,21.6,21.7,inconnu,0.4333085810468385,1.366379678441175,,0.0,0.4,14.468546670320675,Emprise residuelle < 80m2 - constructibilite tres limitee,38.33267224093616,,,-1.4610552,0.0,-0.34971964,-0.007388426,0.0,0.019842790439724922,0.008212641812860966
73065000BY0022,0.0020721056,-1.1853437,-0.39602852,0.0,0.0,-0.0052498584,-0.18868546,-0.009404767,0.0,0.0,1.0,25.0,26.3,inconnu,0.6903584847192276,1.045790742885315,,0.0,0.4,115.94022186827588,,58.77780394372457,,,-1.5793002,0.0,-0.19393532,-0.009404767,0.031186208128929138,0.764388918876648,0.17745274305343628
73065000BY0075,-0.030640487,-1.08979,-0.3353367,0.0,0.0,-0.0052498584,-0.34975785,-0.007388426,0.0,0.0,0.0,25.0,25.2,inconnu,0.5139073684959696,1.1134699510741888,,0.0,0.4,10.72168544875511,Emprise residuelle < 80m2 - constructibilite tres limitee,36.21197276150825,,,-1.4557672,0.0,-0.3550077,-0.007388426,0.0,0.0,0.0
73065000BY0037,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,60.2,65.0,inconnu,0.2517592910005828,2.8208178761342912,,0.0,0.4,175.23604629473067,,62.02593499997796,,,1.5524521,0.0,0.2468078,-0.0020383701,99.96565246582031,100.0,0.013029438443481922
73065000BY0303,-0.026431246,-1.08979,-0.33954588,0.0,0.0,-0.0052498584,-0.34975785,-0.007388426,0.0,0.0,0.0,25.0,25.5,inconnu,0.1529749254241006,2.570701386866015,Parcelle allongee - emprise reelle limitee,0.0,0.4,64.08382062961475,Emprise residuelle < 80m2 - constructibilite tres limitee,45.1927310234632,,,-1.455767,0.0,-0.3550077,-0.007388426,0.0,0.0,0.0
73065000BY0305,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,59.1,65.8,inconnu,0.2561412419919331,1.0415841869101257,,0.0,0.4,92.11122910407283,,59.38486060272688,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0
73065000BY0218,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,61.8,67.7,inconnu,0.7851164919869186,1.0971278726996971,,0.007724645118732,0.3922753548812679,917.9143416582184,,61.37755664011538,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0
73065000BY0039,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,60.2,66.4,inconnu,0.5276331727995772,1.8649596962728947,,0.0,0.4,117.53610900000022,,60.23745374433629,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0024109503719955683
73065000BY0164,-0.030640487,-1.1127881,-0.3304002,0.0,0.0,-0.0052498584,-0.3456016,0.0065167877,0.0,0.0,0.0,25.0,21.6,inconnu,0.4019936077623032,1.5510359551266413,,0.0,0.4,34.19134732582204,Emprise residuelle < 80m2 - constructibilite tres limitee,57.71032111336951,,,-1.4738288,0.0,-0.35085145,0.0065167877,0.0,0.04400571435689926,0.013638208620250225
73065000BY0114,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,58.9,67.3,inconnu,0.6455656595306631,1.3302283176806302,,0.0,0.4,460.21870910814914,,57.30990091350139,,,1.5524521,0.0,0.2468078,-0.0020383701,99.98977661132812,100.0,0.0034853830002248287
73065000BY0182,-0.030640487,-1.095078,-0.3353367,0.0,0.0,3.8211234e-05,-0.34975785,-0.007388426,0.0,0.0,0.0,25.0,24.9,inconnu,0.3031306068110579,2.564402487760517,,0.0,0.4,106.40655400841524,,51.341543795721,,,-1.4610552,0.0,-0.34971964,-0.007388426,0.0,0.0,0.0
73065000BY0289,-0.05436934,-1.3551521,-0.028131444,0.0,0.0,3.8211234e-05,-0.361218,-0.007388426,0.0,0.0,0.3000000119209289,25.0,31.6,inconnu,0.5385214677230022,2.5188878045463685,,0.0,0.4,18.66998774629538,Emprise residuelle < 80m2 - constructibilite tres limitee,25.620825917276846,,,-1.437653,0.0,-0.3611798,-0.007388426,0.0,0.24474942684173584,0.08593694120645523
