id_parcelle,block_id,slope_p50,slope_p90,slope_std,twi_mean,has_thalweg_mean,profile_curvature_mean,tri_mean,hillshade_winter_mean,aspect_south_ratio_mean,svf_mean,proxy_label,CPI_v3
73065000DE0141,3095_21664,12.670379638671875,26.373632431030273,8.007327692169843,,,-0.015872461141254634,0.3437013725885183,0.5513866141356814,,,0,25.0
73065000DE0264,3095_21664,18.579626083374023,25.49355125427246,5.405694026487943,,,0.009457769750911284,0.4401709898270388,0.6200110450785428,,,0,25.0
73065000DE0132,3096_21664,19.80339241027832,30.478153228759766,7.698053437605367,,,0.013911716778554496,0.4800401298684747,0.08029036405230425,,,0,25.0
73065000DE0107,3096_21664,10.385522842407227,33.535438537597656,11.325513380532488,,,-0.020365994688981558,0.35435063788231386,0.2053928428177035,,,0,25.0
73065000DE0106,3096_21665,6.461292266845703,26.432491302490234,9.986699583962986,,,0.018303133592073497,0.2553532023286615,0.2670212119434013,,,0,25.0
73065000DE0105,3096_21665,11.758076667785645,28.152536392211914,10.432095827751832,,,-0.010237390381832879,0.34066722916592496,0.2224638093336122,,,0,25.0
73065000DE0221,3096_21665,15.98791790008545,34.674224853515625,12.443497330248022,,,0.044211260686155225,0.3973247790727459,0.16541319800204918,,,0,25.0
73065000DE0281,3096_21665,10.231131553649902,25.526216506958008,9.686984128168728,,,0.008459968804665338,0.3028947422636647,0.25731651253720833,,,0,25.0
73065000DE0172,3095_21665,8.878046989440918,34.45486831665039,13.39005593634694,,,0.01661331398031925,0.36076381670232843,0.49794482429174763,,,0,25.0
73065000DE0157,3094_21665,15.434937477111816,25.33963966369629,8.474957885934202,,,0.042272752105670955,0.3583045222046066,0.5402885713109826,,,0,25.0
73065000DE0168,3095_21665,16.83028221130371,29.728506088256836,9.23663241005682,,,-0.01760539315008797,0.41328034636468786,0.5440997577748273,,,0,25.0
73065000DE0213,3094_21665,12.828428268432617,28.798053741455078,9.089366577844967,,,0.007393709775476578,0.34388719479942453,0.5277058285640234,,,0,25.0
73065000DE0154,3095_21665,14.658002853393555,27.0003662109375,7.426172550982752,,,-0.014690164903453684,0.37277692543633517,0.5566811286233959,,,0,25.0
73065000DE0051,3094_21665,15.806169509887695,34.22663116455078,10.749973453818578,,,0.013400210900941158,0.4857453906431096,0.5477021579450626,,,0,25.0
73065000DE0123,3095_21665,16.337120056152344,42.96717071533203,15.038445805263539,,,-0.22426582204884496,0.5333058916289231,0.5778679025584254,,,0,25.0
73065000DE0122,3095_21665,10.390246391296387,28.777172088623047,9.647745417542275,,,0.044351025792946766,0.3741079986670393,0.37571439099081844,,,0,25.0
73065000DE0150,3095_21665,16.009998321533203,25.16853141784668,6.3189623089120595,,,0.00036740314021521263,0.39309279577863504,0.5752169414176455,,,0,25.0
73065000DE0079,3095_21666,29.261014938354492,42.71268844604492,14.177013021884262,,,-0.05678954441416674,0.6947353757278021,0.6655452308118025,,,0,25.0
73065000DE0153,3095_21665,4.616926193237305,29.64853858947754,12.518200175857437,,,-0.011862902993131842,0.282177402410143,0.45324372625474907,,,0,25.0
73065000DE0054,3095_21665,21.676918029785156,33.21296691894531,8.519943359152983,,,-0.013729441893779663,0.5535242933074653,0.6520491903901039,,,0,25.0
73065000DE0169,3095_21665,13.208857536315918,26.483701705932617,8.934412647096387,,,-0.01111625137540139,0.36129676014560497,0.5177753183907898,,,0,25.0
73065000DE0220,3096_21665,14.622267723083496,33.01772689819336,11.382924851765962,,,-0.028480285829424017,0.39818452560953804,0.20925573594880723,,,0,25.0
73065000DE0099,3096_21665,8.429354667663574,30.018634796142578,10.428859366426906,,,-0.026199240726215153,0.3272699146622935,0.21465297806483083,,,0,25.0
73065000DE0095,3096_21665,14.616621017456055,36.8397331237793,12.535761332124197,,,-0.06947395182648207,0.44379123382735486,0.29342006252994934,,,0,25.0
73065000DE0088,3095_21665,5.720295429229736,36.894290924072266,15.397303185236145,,,-0.009402012883021593,0.3901493787185409,0.30236044185295013,,,0,25.0
73065000DE0102,3096_21665,18.87038803100586,29.694984436035156,8.483883059064656,,,-0.029079074299350704,0.4441599644920378,0.20244915062135815,,,0,25.0
73065000DE0101,3096_21665,8.603069305419922,25.56749725341797,8.495757202099929,,,-0.01882954662152355,0.3034040883161977,0.2699378648017564,,,0,25.0
73065000DE0218,3096_21665,11.911599159240723,30.752370834350586,10.382138165952751,,,-0.011242643142918769,0.35568552759327815,0.22804965005565234,,,0,25.0
73065000DE0103,3096_21665,20.92340850830078,30.65797233581543,6.352937106869355,,,-0.0076813004140196175,0.5190579315711712,0.08363910379080937,,,0,25.0
73065000DE0278,3096_21665,4.607152938842773,25.277324676513672,9.674565592736311,,,-0.03347193378008456,0.2401714341493658,0.29874824464372834,,,0,25.0
73065000DE0192,3095_21665,11.493307113647461,25.873109817504883,9.880907324780722,,,-0.012376104029140793,0.3475647091912124,0.280005517253749,,,0,25.0
73065000DE0319,3096_21665,3.5052742958068848,37.45839309692383,15.225733860170138,,,-0.025962074515745812,0.3570475260416667,0.2828125,,,0,25.0
73065000DE0006,3094_21666,14.797272682189941,29.696287155151367,10.132502593958426,,,0.00019432794502816038,0.4186345603093146,0.305955669399975,,,0,25.0
73065000DE0028,3093_21665,20.102418899536133,36.38557052612305,10.277894402379781,,,-0.004743708163406473,0.5381794695041479,0.2769561388719689,,,0,25.0
